,GroupGenre,SubGenre
29,History,"{Cartwright Peter 1785-1872,Ancient Rome,World War Ii 1939-1945,Bir Hakeim Battle of 1942,Chivalry,War stories,Auschwitz (Concentration camp),Amérique latine - Histoire - 1806-1830 (Guerres dindépendance),Berlin Wall Berlin Germany 1961-1989,Atlanta Campaign 1864,Prisoners of war,Cavalry pioneer troops,Nuclear warfare,African American women air pilots,Buddhist pilgrims and pilgrimages,Colonists,Desert Fathers,World War 1939-1945,Chernobyl Nuclear Accident Chornobylʹ Ukraine 1986,Guerrillas,African American women,Escapes,Beguines,Civilization Ancient,Arnheim Battle of 1944,World War 1914-1918,Shipwrecks,Capitalism,Lewis and Clark Expedition,Drug control,New Market Va. 1864,Kings,Emperors,Confederate States of America,Barnum P.T. (phineas Taylor) 1810-1891,Arab-Israeli conflict,Concentration camps,African American Communists,Celtic antiquities,Cults,Angkor (Extinct city),Napoleonic Wars 1800-1815,Fascism,Dunkirk Battle of Dunkerque France 1940,HISTORY,Frontier and pioneer life,Prohibition,Byzantine Empire,Mexican American women,Prisoner-of-war escapes,Historical geography,Nicholas,Civilization Medieval,Abolitionists,Donner Party,Iraq War 2003-,Conservatism,Knights and knighthood,Oral history,Abu Ageila Battle of Abu Ujaylah Egypt 1956,Soviet Union,Antislavery movements,Communism,Civil rights,Political and/or Miltary intrigue,Balsan Consuelo Vanderbilt,Revolutions,Holocaust Jewish (1939-1945),Jacobites,Anti-apartheid movements,Everest George,History,Manners and customs,Crimean War 1853-1856,Fur trade,Current Events,Franco-Prussian War 1870-1871,Caractères dimprimerie - Pays-Bas - Histoire,Apartheid,La Coruna Battle of La Coruna Spain 1809,Creek War 1813-1814,Aristophanes,Missionaries,Women millionaires,Queens,Aristocracy (Social class),Bronze age,Slave trade,Munich Four-Power Agreement,Fuentes de Oñoro Battle of Fuentes de Oñoro Spain 1811,Griersons Cavalry Raid 1863,Incas,Israel-Arab War 1973,Firearms industry and trade,Assyria,Cowboys,Civilization Modern,Civilization Islamic,Vietnam War 1961-1975,Inventions,Constitutional history,Reconstruction (U.S. history 1865-1877),Culloden Battle of1746,Pilgrims (New Plymouth Colony)}"
30,Children & Fairy Tales,"{Childrens stories English,Fairies,Elves,Friendship,Animals Mythical,Children's plays American,Werewolves,Children's stories Australian,Monsters,Dragons,Bedtime,Children's stories American,Tales,Books on CD for children,Heroes,Children,Nursery rhymes Danish,Fairy tales,Dwarfs,Children's poetry English,Picture books for children,Magic,Children's stories Swiss (German),Children's literature,Children's stories,Children's songs}"
31,Families,"{Fathers and sons,Sisters,Mothers,Problem children,Adopted children,Cousins,Husbands,Infants,Interpersonal relations,Family life,Child rearing,Grandchildren,Adoption,Babysitters,Baby sitters,Children,Brothers,Families,Brothers and sisters,Mothers and sons,Aunts,Fathers and daughters}"
32,Civilization,"{Civilization,Civilization Medieval,Climate and civilization,Civilization Modern,Civilization Islamic}"
33,Life,"{Country life,Farm life,City and town life,Manners and customs,Christian life,Conduct of life,Inheritance and succession,Alternative lifestyles}"
34,North America,"{Pennsylvania,Appalachian Region,The West,Connecticut,Asian Americans,Boston (Mass.),Great Plains,Mexican Americans,Liberty,Hollywood (Los Angeles Calif.),Dakota Indians,Buckingham County (Va.),Americans,East Saint Louis (Ill.),America,Chicago (Ill.),West (U.S.),Yana Indians,Authors American,United States,Apache Indians,African American boys,Florida,Indians of North America,New York (N.Y.),Nez Perce Indians,American literature,African American women,Maryland,Cape Cod (Mass.),New Mexico,Oglala Indians,California,Georgia,Algonquian Indians,New England,Navajo language,Alaska,Central Park (New York N.Y.),Amish,Salem (Mass.),African Americans,Cheyenne Indians}"
35,Europe,"{Akenfield (England),Cotswold Hills (England),British,Gran Bretaña,Czechoslovakia,Denmark,Belgium,Great Britain,Cornwall (England : County),Crete,Authors Irish,Ireland,England,Greece,Authors English,Belfast (Northern Ireland),Sweden,Lancashire (England),Copenhagen (Denmark),Athens (Greece),Aberystwyth (Wales)}"
36,Africa,"{Cairo (Egypt),Botswana,Egypt}"
37,Middle East,"{Bahrain,Arab countries,Middle East,Aden (Yemen)}"
38,Horror Story,"{Horror tales,Horror tales American,Ghost stories,Ghosts,Monsters}"
39,Holiday,"{Birthday parties,Halloween,Christmas,Birthdays,Christmas stories}"
40,Love stories,"{Sexual fantasies,Sex,Playboy,Love stories,Marriage,Man-woman relationships,Arthurian romances,Adultery,Love stories American,Computer sex,Courtship,Dieu - Amour,Sex customs,Erotic stories,Sex role,Erotic literature,Erotic stories Australian}"
41,Weather,"{Blizzards,Clouds,Weather,Hurricanes,Cyclones}"
42,Language,"{Sanskrit language,Body language,Language and languages,Navajo language,Extinct languages,Hebrew language,Portuguese language,German language,English language,Greek language Biblical,Dutch,Language acquisition,Americanisms,Spanish language}"
43,Asia,"{Ho Chi Minh City (Vietnam),Vietnam,Thailand,DIEN-BIEN-PHU,China,Japan}"
44,South America,"{Belize,Brazil,Argentina}"
45,Occupations,"{Bullfighters,Coroners,Air pilots,Journalists,Circus owners,Occupations,Police,Dentists,Admirals,Sales personnel,Fighter pilots,Bankers}"
